id,nombre_cientifico,nombre_comun,grupo,raza_tipo,descripcion_breve,clima_tol,temp_min_c,temp_max_c,nicho,estrato,densidad_carga,unidad_carga,espacio_min_m2,consumo_alimento_kg_dia,agua_l_dia,aporte_principal,estiercol_kg_dia,producto,rendimiento_rel,valor_mercado,verificacion,fuente,notas
gallina_ponedora,Gallus gallus domesticus,Gallina ponedora comercial,ave,Hy-Line/ISA Brown,Ave de postura intensiva seleccionada para alto rendimiento de huevo; sensible al calor; requiere ventilacion en tropicos,tropical_humedo; sensible_calor,10,38,forrajeo_suelo,suelo,7,aves_por_m2,0.14,0.12,0.3,estiercol,0.15,huevo,3,medio (0.10-0.15 usd/huevo),V,FAO-housing; livestocking.net; pmc6617375,Reduce postura >32C; ventilacion critica en tropico
pollo_engorde,Gallus gallus domesticus,Pollo de engorde comercial,ave,Ross 308/Cobb 500,Broiler de ciclo rapido (6-7 sem); alto potencial carnico; sensible a calor en tropicos,tropical; semi-arido_subtropical,10,38,forrajeo_suelo,suelo,10,aves_por_m2,0.1,0.15,0.35,estiercol,0.12,carne,3,alto (1.5-2.5 usd/kg canal),V,thepoultrysite; pmc9560488; livestocking.net,0.09-0.1 m2/ave en tropico segun pmc9560488
gallina_criolla,Gallus gallus domesticus,Gallina criolla/traspatio,ave,Criollo/ecotipo local,Gallina de doble proposito (carne/huevo) de alto vigor hibrido; adaptada al pastoreo libre; resistente a enfermedades tropicales,tropical_humedo; tropical_seco; alta_tolerancia,10,42,forrajeo_suelo,suelo,3,aves_por_m2,0.5,0.07,0.2,estiercol;control_plagas,0.1,carne;huevo,1,alto cualitativo (mercado nicho),P,lrrd-CIPAV; tandf-2023; FAO-family-poultry,Menor postura (~80-120 huevos/año); mayor rusticicidad; alta demanda en mercados locales
pavo,Meleagris gallopavo,Pavo,ave,Pavo criollo/Bronze,Ave omnivora de gran tamano; forrajea en pastizales; demanda alto contenido proteico en dieta; relativamente rustico,tropical_seco; subtropical,5,40,forrajeo_suelo,suelo,2,aves_por_m2,3.0,0.45,0.6,estiercol,0.35,carne,2,alto (3-5 usd/kg vivo),P,almanac-raising-turkeys; PSU-extension; attra.ncat.org,Hembra consume ~0.23 kg/dia; macho ~0.45 kg/dia; requiere ~1 m2/ave en confinamiento
pato_pekin,Anas platyrhynchos domesticus,Pato Pekin,ave,Pato Pekin blanco,Pato carnico de rapido crecimiento; tolera humedad y agua; produce buen estiercol; mas eficiente en agua que gansos,tropical_humedo; subtropical,5,38,forrajeo_suelo,suelo,4,aves_por_m2,0.27,0.18,1.0,estiercol,0.2,carne,3,medio (2-3 usd/kg),V,FAO-y4359e; agrodok33-tropics; cornell-duck,0.09 m2/ave en agua; necesita acceso a agua para nado (opcional en confinamiento)
pato_criollo,Cairina moschata,Pato criollo/Muscovy,ave,Criollo (Moscovita),Pato nativo de America tropical; carne magra y oscura; alta tolerancia a calor y humedad; excelente madre; control de insectos en pastizal,tropical_humedo; muy_alta_tolerancia_calor,10,42,forrajeo_suelo,suelo,3,aves_por_m2,0.5,0.12,0.4,estiercol;control_plagas,0.15,carne;huevo,2,alto cualitativo,V,springer2007-congo; researchgate-muscovy; a-z-animals,~14.6 huevos/nidada; 2 nidadas/año; muy adaptada a sistemas de traspatio tropical
ganso,Anser anser domesticus,Ganso doméstico,ave,Embden/Toulouse/local,Ave herbivora eficiente; controla malezas; produce carne y plumas; requiere acceso a pasto fresco; tolera calor en razas locales,tropical_humedo; subtropical,5,40,forrajeo_suelo,suelo,0.04,aves_por_m2,5.0,0.7,1.5,estiercol;control_malezas,0.5,carne,1,medio,P,FAO-y4359e; springer-waterfowl; featheredfarmlife,1 ha soporta 20-40 gansos segun calidad de pastizal; util para desmalezar entre cultivos
codorniz,Coturnix coturnix japonica,Codorniz japonesa,ave,Coturnix,Ave de postura y carne de ciclo muy corto (6 sem a postura); alta densidad; bajo consumo; muy eficiente en espacio; bien tolerada en calor moderado,tropical; subtropical,10,38,forrajeo_suelo,confinado,80,aves_por_m2,0.015,0.025,0.05,estiercol,0.02,huevo;carne,3,medio-alto (0.03-0.05 usd/huevo),V,PMC10113653; springer-density; echocommunity-quail,150-200 cm2/ave jaula; postura afectada >35C
pintada_guinea,Numida meleagris,Gallina de guinea/pintada,ave,Tipo africano/local,Ave nativa africana aclimatada en tropico americano; excelente control de insectos y garrapatas; forrajea en pastizales con ganado; carne magra,tropical_seco; tropical_humedo,10,42,forrajeo_suelo,suelo,3,aves_por_m2,1.0,0.1,0.25,estiercol;control_plagas,0.1,carne,1,medio-alto (mercado nicho),P,springer-guinea-fowl; naerls-nigeria; britannica-guinea-fowl,Muy ruidosa; tiende a vagar; util en sistemas silvopastoriles para control de insectos
vaca_lechera_holstein,Bos taurus taurus,Vaca lechera Holstein,rumiante,Holstein-Friesian,Raza europea de alta produccion lactea; muy sensible al calor tropical; requiere instalaciones con sombra y ventilacion para mantener produccion,subtropical; templado_calido,5,30,pastoreo,pasto_bajo,1.2,UA_por_ha,50.0,15.0,80.0,estiercol,25.0,leche,3,alto (0.35-0.50 usd/L),V,FAO-GLEAM; scielo-heat-stress; frontiersin-heat-2023,Produccion cae >32C; ingesta cae 40% a 40C; no recomendada >tropico calido sin enfriamiento
