id,nombre_cientifico,nombre_comun,tipo,descripcion_breve,luz,temp_min_c,temp_max_c,ph_min,ph_max,agua,zona_usda_min,zona_usda_max,estrato,altura_cm_min,altura_cm_max,prof_raiz_cm,ciclo_dias,densidad_plantas_m2,espaciado_cm,fija_nitrogeno,demanda_nutrientes,valor_polinizador,comestible,valor_estetico,rendimiento_rel,precio_semilla_usd,disponibilidad,verificacion,fuente,notas
tomate,Solanum lycopersicum,Tomate,hortaliza_fruto,Solanácea de fruto carnoso; base del huerto tropical latinoamericano,pleno_sol,10,35,6.0,6.8,alta,9,12,medio,60,200,60,70,2,50,no,alta,1,si,1,3,1.50,alta,V,FAO; NCSU Extension; ICL Growing,Temp óptima 21-24 C; arriba de 35 C cae cuajado; ph óptimo 6.2-6.5
chile_habanero,Capsicum chinense,Chile habanero,hortaliza_fruto,Chile muy picante nativo del Caribe; ampliamente cultivado en el trópico latinoamericano,pleno_sol,18,40,6.0,7.0,media,10,12,medio,40,120,40,90,4,50,no,media,1,si,1,2,0.80,alta,V,CABI; UF/IFAS; Useful Tropical Plants,Tolerante al calor extremo; necesita noches cálidas para fructificar bien
chile_jalapeño,Capsicum annuum,Chile jalapeño,hortaliza_fruto,Chile de calor moderado; el más cultivado de México y Centroamérica,pleno_sol,15,38,6.0,6.8,media,9,12,medio,40,100,40,75,4,50,no,media,1,si,1,2,0.80,alta,V,FAO; NCSU Extension,Similar al habanero pero más tolerante a temperaturas bajas
berenjena,Solanum melongena,Berenjena,hortaliza_fruto,Solanácea tropical de fruto morado; bien adaptada al calor húmedo,pleno_sol,15,38,5.5,6.8,media,9,12,medio,50,120,50,90,3,55,no,media,1,si,1,2,1.00,alta,V,FAO; CABI Compendium,Misma familia que tomate (Solanaceae); comparte plagas; no plantar juntas
calabaza,Cucurbita pepo,Calabaza,hortaliza_fruto,Cucurbitácea rastrera clásica de la milpa; alta productividad tropical,pleno_sol,15,35,6.0,7.5,alta,8,12,rastrero,30,60,80,90,0.5,90,no,media,2,si,2,3,0.50,alta,V,Britannica Milpa; Nature Scientific Reports; FAO,Cubre suelo suprimiendo malezas; parte esencial del sistema milpa
ayote,Cucurbita moschata,Ayote; Zapallo,hortaliza_fruto,Variedad tropical de calabaza; muy resistente al calor húmedo centroamericano,pleno_sol,18,38,5.8,7.0,alta,10,12,rastrero,30,60,80,100,0.5,90,no,media,2,si,2,3,0.50,alta,P,FAO; INTA Costa Rica,Más tolerante al calor y humedad que C. pepo; ampliamente cultivada en el Caribe
pepino,Cucumis sativus,Pepino,hortaliza_fruto,Cucurbitácea trepadora de ciclo corto; alta demanda hídrica en trópico,pleno_sol,15,38,6.0,7.0,alta,9,12,trepador,80,200,40,55,2,50,no,alta,1,si,1,2,0.80,alta,V,FAO; NCSU Extension,Necesita soporte o enrejado; compartir plagas con calabaza (misma familia)
tomate_cherry,Solanum lycopersicum var. cerasiforme,Tomate cherry,hortaliza_fruto,Variedad de tomate de fruto pequeño; más tolerante al calor y humedad,pleno_sol,12,35,6.0,6.8,alta,9,12,medio,80,180,60,65,2,50,no,alta,2,si,2,3,1.50,alta,V,FAO; NCSU Extension,Similar al tomate estándar pero mayor tolerancia al calor tropical
lechuga,Lactuca sativa,Lechuga,hortaliza_hoja,Hoja de ciclo corto; sensible al calor pero adaptable en altitudes medias tropicales,sol_parcial,7,28,6.0,7.0,alta,7,11,bajo,20,40,20,45,9,33,no,media,0,si,1,2,0.50,alta,V,FAO; NCSU Extension,Bolting rápido sobre 28 C; preferir variedades de hoja suelta tropicales; sombra parcial ayuda
acelga,Beta vulgaris subsp. cicla,Acelga,hortaliza_hoja,Quenopodiácea de hoja grande; más tolerante al calor que la espinaca,pleno_sol,5,30,6.0,7.5,media,6,10,bajo,30,60,30,50,6,40,no,media,0,si,1,2,0.50,alta,V,FAO; NCSU Extension,Familia Amaranthaceae; tolera más calor que espinaca; buena opción zonas subtropicales
espinaca,Spinacia oleracea,Espinaca,hortaliza_hoja,Hoja de estación fresca; marginal en trópico bajo; mejor en altitudes >800 m,sol_parcial,5,24,6.0,7.5,alta,6,10,bajo,20,40,25,40,9,33,no,media,0,si,1,2,0.50,alta,V,FAO; NCSU Extension,Muy sensible al calor; bolting a 24 C; preferir espinaca de Malabar (Basella) en trópico bajo
