especie_a,especie_b,relacion,valor,mecanismo,procedencia,fuente,notas
inga_edulis,theobroma_cacao,facilitacion,2,nodriza_sombra,investigado,"Springer-cacao-shade;SciDirect-Inga-coffee","Inga es la sombra principal de cacao en Mesoamérica; reduce erosión; aumenta banco de agua disponible"
inga_edulis,coffea_arabica,facilitacion,2,nodriza_sombra,investigado,"SciDirect-Inga-coffee;Academia-Inga-shadow","Complementariedad hídrica 100-200 cm profundidad; reduce escorrentía y picos de temperatura"
gliricidia_sepium,theobroma_cacao,facilitacion,2,fijacion_N,investigado,"ResearchGate-Gli-cacao;PMC-Gli-N","Fija 31-38 kg N/ha/año; biomasa de podas sustituye fertilizante N para cacao"
gliricidia_sepium,coffea_arabica,facilitacion,2,nodriza_sombra,investigado,"Winrock-GS;Regreening-GS","Clásica sombra para café centroamericano; poda fácil; alto aporte de materia orgánica"
erythrina_poeppigiana,theobroma_cacao,facilitacion,2,fijacion_N,investigado,"WorldAgroforestry-EP;Springer-EP-cacao","Nodulación >1000 kg/ha; N en litter supera exportación N cosecha cacao; poda 2x/año"
erythrina_poeppigiana,coffea_arabica,facilitacion,2,nodriza_sombra,investigado,"Winrock-EP;Springer-coffee-AF","Podas semestrales regulan sombra; restitución equivalente a fertilización inorgánica"
leucaena_leucocephala,coffea_arabica,facilitacion,1,fijacion_N,investigado,"Winrock-L;Frontiers-L","Callejones con leucaena proveen N y sombra parcial; puede competir por luz en sitios muy productivos"
albizia_saman,gliricidia_sepium,facilitacion,1,complementariedad_estrato,derivado,"WorldAgroforestry-AS;Winrock-AS","Albizia emergente; gliricidia subdosel; complementariedad de estrato en sistemas silvopastoriles"
enterolobium_cyclocarpum,gliricidia_sepium,facilitacion,1,complementariedad_estrato,derivado,"Winrock-EC;ResearchGate-EC","Guanacaste emergente; madriado subdosel; estratos complementarios en silvopastoral"
eucalyptus_grandis,theobroma_cacao,antagonismo,-2,alelopatia,investigado,"Springer-EG-allelopathy;SciDirect-EG-allelo","Fenoles y terpenos del eucalipto inhiben germinación y crecimiento de sotobosque sensible como cacao"
eucalyptus_grandis,coffea_arabica,antagonismo,-2,alelopatia,investigado,"Springer-EG-allelopathy;SciDirect-EG-allelo","Igual mecanismo alelopático; café muy sensible a fenoles del litter de eucalipto"
eucalyptus_grandis,psidium_guajava,antagonismo,-1,alelopatia,investigado,"SciDirect-EG-understory","Guayaba reducida bajo plantaciones jóvenes; menos severo que en café/cacao"
eucalyptus_grandis,acacia_mangium,facilitacion,1,complementariedad_estrato,investigado,"AnnForSci-AM-Eucalyptus","Mezcla aumenta fijación N de Acacia; eucalipto se beneficia del N; facilitación mutua"
