id,nombre_cientifico,nombre_comun,grupo,descripcion_breve,nicho_trofico,estrato_agua,temp_min_c,temp_max_c,ph_min,ph_max,od_min_mg_l,salinidad_tol,densidad_siembra_ind_m3,peso_cosecha_g,ciclo_meses,fca,alimento,rendimiento_rel,valor_mercado_usd_kg,verificacion,fuente,notas
carpa_plateada,Hypophthalmichthys molitrix,carpa plateada / silver carp,carpa,"Carpa filtradora de fitoplancton; nada en la columna alta, muy usada como componente de superficie en policultivo chino.",filtrador_plancton,columna,6,32,6.5,9.0,3.0,dulce,0.4,1200,10,2.2,fitoplancton; detrito fino,2,2.0,V,FAO-carp; TheFishSite-silver,Optimo 25-32 C; alimentacion cesa <15 C. Densidad como componente de policultivo.
carpa_cabezona,Hypophthalmichthys nobilis,carpa cabezona / bighead carp,carpa,Filtradora de zooplancton; ocupa columna media. Complementa a la plateada (fito vs zoo).,filtrador_plancton,columna,6,32,6.5,9.0,3.0,dulce,0.3,1500,11,2.3,zooplancton; fitoplancton grande,2,2.0,V,FAO-carp; FishBase,Nicho zooplanctonico distinto de la plateada.
carpa_herbivora,Ctenopharyngodon idella,carpa herbivora / grass carp,carpa,Herbivora estricta; consume macrofitas y pastos. Sus heces fertilizan el estanque.,herbivoro,columna,10,30,6.5,9.0,3.0,dulce,0.4,1500,11,2.5,macrofitas; pasto; forraje verde,2,2.2,V,FWS-grasscarp; TheFishSite-grass,Prefiere 15-25 C; control de vegetacion. Heces reciclan nutrientes.
carpa_comun,Cyprinus carpio,carpa comun,carpa,"Omnivora bentonica; remueve y se alimenta en el fondo, aprovecha alimento no consumido.",omnivoro,fondo,3,35,6.5,9.0,3.0,dulce,0.5,1200,9,2.0,bentos; detrito; balanceado,2,1.8,V,FishBase-carp; Tandfonline-carp,Mejor 27-31 C; tolera 3-35 C. pH optimo 7.5-8.0.
carpa_negra,Mylopharyngodon piceus,carpa negra / black carp,carpa,Carnivora bentonica especializada en moluscos y caracoles; control biologico de hospederos.,carnivoro,fondo,10,35,6.5,9.0,3.0,dulce,0.2,2500,14,2.6,moluscos; caracoles; bivalvos,1,2.5,P,FAO-carp,Controla caracoles vectores. Datos de densidad estimados.
koi,Cyprinus carpio var. koi,koi,carpa,"Variedad ornamental de carpa comun; omnivora de fondo, valor estetico mas que carnico.",omnivoro,fondo,4,32,6.5,9.0,3.0,dulce,0.5,1500,12,2.2,balanceado; bentos,0,8.0,P,Aqua-fish-koi,"Valor ornamental; rendimiento carnico bajo. Precio unitario, no por kg."
catla,Catla catla,catla,carpa,Carpa india de superficie; filtra zooplancton en la capa superior. Crecimiento rapido.,filtrador_plancton,superficie,18,35,6.5,9.0,4.0,dulce,0.4,1200,10,2.2,zooplancton; fitoplancton,2,2.2,V,GlobalSeafood-IMC; Engormix-IMC,Componente de superficie del policultivo indio (4:2:3:1).
rohu,Labeo rohita,rohu,carpa,Carpa india de columna; herbivora/omnivora que ramonea perifiton y plantas blandas.,herbivoro,columna,18,35,6.5,9.0,4.0,dulce,0.6,1000,10,2.2,perifiton; fitobentos; balanceado,3,2.2,V,GlobalSeafood-IMC; Engormix-IMC,Comedor de columna; alta demanda en mercado del sur de Asia.
mrigal,Cirrhinus mrigala,mrigal,carpa,Carpa india de fondo; detritivora que limpia sedimentos y restos.,detritivoro,fondo,18,35,6.5,9.0,4.0,dulce,0.5,900,10,2.3,detrito; perifiton de fondo,2,2.0,V,GlobalSeafood-IMC; Engormix-IMC,Comedor de fondo; recicla materia organica del sedimento.
kalbasu,Labeo calbasu,kalbasu,carpa,"Carpa india de fondo; detritivora/omnivora, complementa a mrigal en el estrato bentonico.",detritivoro,fondo,18,34,6.5,8.5,4.0,dulce,0.4,1000,11,2.4,detrito; perifiton,1,2.0,P,GlobalSeafood-IMC,Datos parcialmente verificados.
