especie_a,especie_b,relacion,valor,mecanismo,procedencia,fuente,notas
vaca_carne_cebu,oveja_pelibuey,sinergia,2,complementariedad_estrato_pasto,investigado,EU-CAP-mixed-grazing; SciDirect-3yr-study; pasture.io,Bovinos graminivoros de estrato bajo; ovinos herbivoros generalistas; pastoreo mixto simultaneo reduce parasitos GI en ambas especies; mejor ganancia de peso en corderos
vaca_carne_cebu,cabra_criolla,sinergia,2,complementariedad_estrato_pasto,investigado,agrositio.com.ar; produccion-animal.com.ar; springer-silvopasture,Bovinos en pasto bajo; cabras ramonean arbustos en estrato medio-alto; uso complementario de estratos evita competencia directa; mejora diversidad botanica
oveja_pelibuey,cabra_criolla,sinergia,1,complementariedad_estrato_pasto,investigado,produccion-animal.com.ar; EU-CAP; SciDirect-sheep-goat,Ovejas prefieren gramineas; cabras ramonean dicotiledoneas y arbustos; complementariedad parcial; en pastizal degradado pueden competir por forraje herbaceo
gallina_criolla,vaca_carne_cebu,sinergia,2,rotacion_aves_tras_ganado,investigado,ecofarmingdaily; permies; PMC7766460,Gallinas siguen al ganado 3-4 dias despues; rompen costras de estiercol; consumen larvas de moscas y parasitos en estadio larval; exponen huevos al sol reduciendolos
gallina_criolla,oveja_pelibuey,sinergia,1,rotacion_aves_tras_ganado,derivado,ecofarmingdaily; pasture.io,Mismo mecanismo que con bovinos; gallinas consumen larvas de strongylidos antes de completar ciclo infectante; menor carga parasitaria en ovinos
pintada_guinea,vaca_carne_cebu,sinergia,2,control_parasitos_pastoreo_mixto,investigado,springer-guinea-fowl; britannica-guinea-fowl; naerls-nigeria,Pintadas consumen garrapatas directamente del cuerpo del ganado y del suelo del pastizal; reduccion significativa de Rhipicephalus spp. en bovinos tropicales
pintada_guinea,oveja_pelibuey,sinergia,1,control_parasitos_pastoreo_mixto,derivado,springer-guinea-fowl; naerls-nigeria,Pintadas forrajean insectos y garrapatas en pastizal compartido con ovinos; reduccion de carga parasitaria externa
pato_criollo,vaca_carne_cebu,sinergia,1,rotacion_aves_tras_ganado,investigado,ecofarmingdaily; agrodok33-tropics; permies,Patos siguen al ganado en rotacion; consumen larvas en estiercol y agua estancada; control de moscas y mosquitos; complementan gallinas en zonas humedas
pato_criollo,tilapia_integrada,sinergia,2,reciclaje_estiercol,investigado,scialert-rice-fish; sciencedirect-tilapia; lrrd-tilapia,Estiercol de patos fertiliza fitoplancton en estanques; peces crecen 30-40% mas; patos se alimentan de peces muertos e insectos acuaticos; sinergia clasica de sistemas integrados asiaticos adaptable a LA
pato_pekin,tilapia_integrada,sinergia,2,reciclaje_estiercol,investigado,scialert-rice-fish; sciencedirect-tilapia,Igual mecanismo que pato_criollo; estiercol de patos Pekin fertiliza estanque; mayor carga de nutrientes por mayor tamano del ave
abeja_melif,gallina_criolla,neutral,0,polinizacion,derivado,annualreviews-meliponini; FAO-family-poultry,No interaccion directa significativa; abejas en florecimiento de finca complementan produccion agricola; gallinas no afectan colmenas en distancias normales
