id,nombre_cientifico,nombre_comun,familia,descripcion_breve,clima,temp_min_c,temp_max_c,precip_min_mm,precip_max_mm,ph_min,ph_max,tolerancia_sequia,tolerancia_sombra,zona_usda_min,zona_usda_max,estrato_dosel,altura_madura_m_min,altura_madura_m_max,diam_copa_m,sistema_raiz,tasa_crecimiento,fija_nitrogeno,co2_kg_arbol_anio,estado_sucesional,valor_biodiversidad,uso,estatus_iucn,densidad_arboles_ha,precio_plantula_usd,disponibilidad,verificacion,fuente,notas
inga_edulis,Inga edulis,Guaba/Pacay,Fabaceae,"Árbol de sombra para café y cacao; copa umbeliforme con hojas pinnadas; fija N vía Rhizobium",tropical_humedo,15,32,1200,4000,4.0,7.0,baja,2,10,12,subdosel,8,18,10,superficial,rapida,si,35,secundaria_temprana,2,"sombra;fijadora_N;multiuso",LC,100,0.5,alta,V,"WorldAgroforestry-AFT;Winrock-Inga;Rainforest-Saver","CO2 estimado (E); copa umbeliforme ideal para sombra difusa; reduce erosión a niveles de bosque secundario"
gliricidia_sepium,Gliricidia sepium,Madriado/Mataratón,Fabaceae,"Árbol multipropósito; N-fijador de alta capacidad; tolera poda drástica; usado en callejones y cercas vivas",tropical_humedo,18,32,600,3500,5.0,8.5,alta,1,10,13,subdosel,6,12,8,superficial,rapida,si,28,secundaria_temprana,2,"forraje;fijadora_N;sombra;multiuso",LC,400,0.4,alta,V,"WorldAgroforestry-GS;Winrock-GS;Regreening-Africa-GS","Fija 31-38 kg N/ha/año en brotes; tolera sequía hasta 9 meses; CO2 estimado (E)"
erythrina_poeppigiana,Erythrina poeppigiana,Poro/Bucare cacao,Fabaceae,"Árbol de sombra clásico para cacao y café; poda semestral; nodula con Bradyrhizobium; hojas con 4.1-4.9% N",tropical_humedo,15,30,1200,3500,5.0,7.5,media,1,10,12,subdosel,10,20,15,superficial,rapida,si,40,secundaria_temprana,3,"sombra;fijadora_N;forraje;multiuso",LC,60,0.5,alta,V,"WorldAgroforestry-EP;Winrock-EP;NZDL-EP","Nodulación abundante >1000 kg/ha en cacao no podado; CO2 estimado (E); se poda 2x/año a 2-3 m"
leucaena_leucocephala,Leucaena leucocephala,Leucaena/Guaje,Fabaceae,"Árbol multipropósito de alta producción de biomasa; callejones; silvopastoral; tolera sequía moderada",tropical_seco,15,30,500,3500,6.0,8.5,alta,0,9,13,subdosel,8,18,8,profundo,rapida,si,45,secundaria_temprana,1,"forraje;fijadora_N;sombra;multiuso",LC,4000,0.3,alta,V,"Useful-Tropical-L;Frontiers-L;Winrock-L","Produce hasta 300 kg N/ha en sistemas densos; tolerante a álcalis; CO2 estimado (E)"
swietenia_macrophylla,Swietenia macrophylla,Caoba de hoja grande,Meliaceae,"Maderable noble de alto valor; árbol emergente del dosel tropical; muy presionado por extracción selectiva",tropical_humedo,18,35,1400,4000,5.5,7.5,baja,2,10,12,emergente,30,60,25,tablar,lenta,no,80,climax,3,"madera;restauracion",VU,25,3.5,media,V,"WorldAgroforestry-SM;IUCN-SM;CITES-SM","IUCN VU A2cd; CITES Apéndice II; CO2 estimado (E); crece en suelos profundos bien drenados"
cedrela_odorata,Cedrela odorata,Cedro rojo,Meliaceae,"Maderable preciosa de la zona tropical-subtropical; afectada por Hypsipyla grandella en plantaciones",tropical_humedo,16,30,1000,3700,5.5,7.5,media,1,10,12,dosel,20,40,20,profundo,media,no,55,climax,3,"madera;restauracion",VU,30,3.0,media,V,"WorldAgroforestry-CO;IUCN-CO;Useful-Tropical-CO","IUCN VU A3bcd+4bcd; brocado Hypsipyla limita plantaciones puras; CO2 estimado (E)"
ceiba_pentandra,Ceiba pentandra,Ceiba/Kapok,Malvaceae,"Árbol emergente icónico del neotrópico; raíces tablares monumentales; árbol sagrado maya; hábitat para epífitas y aves",tropical_humedo,18,38,750,3000,4.5,7.5,media,0,10,12,emergente,20,70,30,tablar,rapida,no,120,secundaria_tardia,3,"madera;restauracion;ornamental",LC,15,2.0,media,V,"WorldAgroforestry-CP;Useful-Tropical-CP;IUCN-CP","IUCN LC; CO2 estimado (E); árbol pionero de bosque secundario tardío; baja densidad óptima en plantación"
enterolobium_cyclocarpum,Enterolobium cyclocarpum,Guanacaste/Cenízaro,Fabaceae,"Árbol emblema de Costa Rica; copa ancha espectacular; fija N; silvopastoral y alineación",tropical_seco,16,34,700,2500,5.0,7.5,alta,0,10,12,emergente,25,35,30,profundo,rapida,si,70,secundaria_tardia,3,"madera;forraje;sombra;fijadora_N;multiuso",LC,20,1.5,alta,V,"Winrock-EC;Wikipedia-EC;TropicalForages-EC","Crece 1-1.5 m/año; copa de hasta 50 m diámetro en ejemplares viejos; CO2 estimado (E)"
cordia_alliodora,Cordia alliodora,Laurel negro,Boraginaceae,"Maderable de ciclo corto; integra bien con cacao y plátano; silvigénesis rápida en terrenos libres",tropical_humedo,18,30,750,3000,4.5,7.5,media,1,10,12,dosel,20,40,15,profundo,rapida,no,45,secundaria_temprana,2,"madera;sombra;multiuso",LC,100,1.5,alta,V,"WorldAgroforestry-CA;CABI-CA;USDA-CA","Índice de sitio 21 m a 5 años en asociación cacao-plátano; CO2 estimado (E)"
tabebuia_rosea,Tabebuia rosea,Roble de sabana,Bignoniaceae,"Árbol ornamental-maderable caducifolio; flores rosas espectaculares; amplia distribución desde México a Venezuela",tropical_seco,20,30,500,2500,5.0,7.5,alta,1,10,12,dosel,15,30,15,profundo,media,no,35,secundaria_tardia,2,"madera;ornamental;restauracion",LC,80,1.0,alta,V,"WorldAgroforestry-TR;CABI-TR;Useful-Tropical-TR","IUCN LC; florece antes del brotamiento foliar; CO2 estimado (E)"
